Step,"Robot Pos(x,y)",IR Left,ToF,IR Right,Map Status
0,"(0,0)",SKIP_WALL,2206.0,0,Free
1,"(0,1)",SKIP_WALL,1403.0,0,Free
2,"(0,2)",SKIP_WALL,769.0,0,Free
3,"(0,3)",SKIP_WALL,SKIP_WALL,1,Free
4,"(1,3)",SKIP_WALL,1274.0,1,Free
5,"(1,2)",1,186.0,SKIP_WALL,Free
6,"(2,2)",1,200.0,1,Free
7,"(2,1)",1,675.0,0,Free
8,"(2,0)",1,SKIP_WALL,0,Free
9,"(2,1)",SKIP_WALL,SKIP_FREE,SKIP_FREE,Free
10,"(3,1)",1,SKIP_WALL,0,Free
11,"(3,2)",SKIP_WALL,193.0,SKIP_WALL,Free
12,"(3,1)",SKIP_WALL,SKIP_WALL,SKIP_FREE,Free
13,"(2,1)",SKIP_FREE,SKIP_WALL,SKIP_FREE,Free
14,"(2,2)",SKIP_FREE,SKIP_FREE,SKIP_WALL,Free
15,"(2,3)",SKIP_FREE,SKIP_WALL,1,Free
16,"(3,3)",SKIP_WALL,SKIP_WALL,SKIP_WALL,Free
17,"(2,3)",SKIP_FREE,SKIP_FREE,SKIP_WALL,Free
18,"(2,2)",SKIP_WALL,SKIP_FREE,SKIP_FREE,Free
19,"(2,1)",SKIP_FREE,SKIP_FREE,SKIP_WALL,Free
20,"(2,0)",SKIP_FREE,SKIP_WALL,SKIP_WALL,Free
21,"(3,0)",SKIP_WALL,SKIP_WALL,SKIP_WALL,Free
