Step,Event,Robot X,Robot Y,Heading,"Cell(0,0)","Cell(0,0)_N","Cell(0,0)_E","Cell(0,0)_S","Cell(0,0)_W","Cell(1,0)","Cell(1,0)_N","Cell(1,0)_E","Cell(1,0)_S","Cell(1,0)_W","Cell(2,0)","Cell(2,0)_N","Cell(2,0)_E","Cell(2,0)_S","Cell(2,0)_W","Cell(3,0)","Cell(3,0)_N","Cell(3,0)_E","Cell(3,0)_S","Cell(3,0)_W","Cell(0,1)","Cell(0,1)_N","Cell(0,1)_E","Cell(0,1)_S","Cell(0,1)_W","Cell(1,1)","Cell(1,1)_N","Cell(1,1)_E","Cell(1,1)_S","Cell(1,1)_W","Cell(2,1)","Cell(2,1)_N","Cell(2,1)_E","Cell(2,1)_S","Cell(2,1)_W","Cell(3,1)","Cell(3,1)_N","Cell(3,1)_E","Cell(3,1)_S","Cell(3,1)_W","Cell(0,2)","Cell(0,2)_N","Cell(0,2)_E","Cell(0,2)_S","Cell(0,2)_W","Cell(1,2)","Cell(1,2)_N","Cell(1,2)_E","Cell(1,2)_S","Cell(1,2)_W","Cell(2,2)","Cell(2,2)_N","Cell(2,2)_E","Cell(2,2)_S","Cell(2,2)_W","Cell(3,2)","Cell(3,2)_N","Cell(3,2)_E","Cell(3,2)_S","Cell(3,2)_W","Cell(0,3)","Cell(0,3)_N","Cell(0,3)_E","Cell(0,3)_S","Cell(0,3)_W","Cell(1,3)","Cell(1,3)_N","Cell(1,3)_E","Cell(1,3)_S","Cell(1,3)_W","Cell(2,3)","Cell(2,3)_N","Cell(2,3)_E","Cell(2,3)_S","Cell(2,3)_W","Cell(3,3)","Cell(3,3)_N","Cell(3,3)_E","Cell(3,3)_S","Cell(3,3)_W"
0,SMART_SCAN_0_0,0,0,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.5,0.1,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.982,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.982,0.5,0.5
1,MOVE_TO_0_1,0,1,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.5,0.1,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.982,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.982,0.5,0.5
1,SMART_SCAN_0_1,0,1,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.1,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.982,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.982,0.5,0.5
2,MOVE_TO_0_2,0,2,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.1,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.982,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.982,0.5,0.5
2,SMART_SCAN_0_2,0,2,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.5,0.1,0.982,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.982,0.5,0.5
3,MOVE_TO_0_3,0,3,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.5,0.1,0.982,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.982,0.5,0.5
3,SMART_SCAN_0_3,0,3,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.982,0.1,0.1,0.982,0.5,0.982,0.5,0.5,0.1,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.982,0.5,0.5
4,MOVE_TO_1_3,1,3,EAST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.982,0.1,0.1,0.982,0.5,0.982,0.5,0.5,0.1,0.5,0.982,0.5,0.5,0.5,0.5,0.982,0.982,0.5,0.5
4,SMART_SCAN_1_3,1,3,EAST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.1,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.5,0.1,0.5,0.982,0.982,0.5,0.5
5,MOVE_TO_1_2,1,2,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.982,0.982,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.1,0.982,0.1,0.982,0.5,0.1,0.5,0.5,0.982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.982,0.5,0.5,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.5,0.1,0.5,0.982,0.982,0.5,0.5
